"Order"	"Family"	"Genus"	"Species"	"Common names (Eng)"	"Red List status"	"genus-order"	"species-order"
"ANSERIFORMES"	"ANATIDAE"	"Dendrocygna"	"eytoni"	"Plumed Whistling-duck"	"LC"	19	2
"ANSERIFORMES"	"ANATIDAE"	"Dendrocygna"	"bicolor"	"Fulvous Whistling-duck"	"LC"	19	3
"ANSERIFORMES"	"ANATIDAE"	"Dendrocygna"	"arcuata"	"Wandering Whistling-duck"	"LC"	19	4
"ANSERIFORMES"	"ANATIDAE"	"Dendrocygna"	"javanica"	"Lesser Whistling-duck"	"LC"	19	5
"ANSERIFORMES"	"ANATIDAE"	"Dendrocygna"	"viduata"	"White-faced Whistling-duck"	"LC"	19	6
"ANSERIFORMES"	"ANATIDAE"	"Dendrocygna"	"arborea"	"West Indian Whistling-duck"	"VU"	19	0
"ANSERIFORMES"	"ANATIDAE"	"Dendrocygna"	"autumnalis"	"Black-bellied Whistling-duck"	"LC"	19	7
"ANSERIFORMES"	"ANATIDAE"	"Heteronetta"	"atricapilla"	"Black-headed Duck"	"LC"	20	0
"ANSERIFORMES"	"ANATIDAE"	"Histrionicus"	"histrionicus"	"Harlequin Duck"	"LC"	21	0
"ANSERIFORMES"	"ANATIDAE"	"Hymenolaimus"	"malacorhynchos"	"Blue Duck"	"EN"	22	0
"ANSERIFORMES"	"ANATIDAE"	"Lophodytes"	"cucullatus"	"Hooded Merganser"	"LC"	23	0
"ANSERIFORMES"	"ANATIDAE"	"Lophonetta"	"specularioides"	"Crested Duck"	"LC"	24	0
"ANSERIFORMES"	"ANATIDAE"	"Malacorhynchus"	"membranaceus"	"Pink-eared Duck"	"LC"	25	0
"ANSERIFORMES"	"ANATIDAE"	"Marmaronetta"	"angustirostris"	"Marbled Teal"	"VU"	26	0
"ANSERIFORMES"	"ANATIDAE"	"Melanitta"	"nigra"	"Common Scoter"	"LC"	27	2
"ANSERIFORMES"	"ANATIDAE"	"Melanitta"	"americana"	"Black Scoter"	"NT"	27	1
